player,team,pk_blocks,pk_takeaways,pk_giveaways,pk_hits,pk_faceoff_wins,pk_faceoff_losses,pk_penalties_taken,pk_faceoff_pct,season
Alexander Kerfoot,ARI,0,0,1,1,4,10,0,28.57142857142857,20232024
Mason McTavish,ANA,2,0,2,2,63,50,4,55.75221238938053,20232024
Adam Henrique,ANA,3,0,1,5,76,73,3,51.006711409395976,20232024
Ryan Strome,ANA,2,1,7,3,42,55,7,43.29896907216495,20232024
Sam Carrick,ANA,0,0,2,3,20,15,0,57.14285714285714,20232024
Nick Schmaltz,ARI,0,0,2,0,9,4,0,69.23076923076923,20232024
Frank Vatrano,ANA,1,2,4,4,0,0,2,,20232024
Trevor Zegras,ANA,0,0,3,2,2,7,4,22.22222222222222,20232024
Ross Johnston,ANA,0,0,0,3,1,0,0,100.0,20232024
Casey Mittelstadt,BUF,2,1,3,2,83,75,4,52.53164556962025,20232024
Dylan Cozens,BUF,1,0,9,2,75,96,0,43.859649122807014,20232024
Rasmus Dahlin,BUF,10,9,4,13,0,0,4,,20232024
Dmitri Voronkov,CBJ,0,0,0,0,5,7,0,41.66666666666667,20232024
Nico Hischier,NJD,2,1,1,2,32,17,0,65.3061224489796,20232024
Jack Hughes,NJD,0,0,2,0,4,1,0,80.0,20232024
Michael McLeod,NJD,0,0,0,0,4,0,0,100.0,20232024
Morgan Geekie,BOS,0,2,3,5,32,36,2,47.05882352941176,20232024
Brad Marchand,BOS,1,3,25,5,5,7,4,41.66666666666667,20232024
Pavel Zacha,BOS,3,0,5,6,122,71,0,63.212435233160626,20232024
Sebastian Aho,CAR,3,4,10,3,136,77,3,63.84976525821596,20232024
John Tavares,TOR,1,2,0,1,31,27,1,53.44827586206896,20232024
Mitch Marner,TOR,1,0,1,0,0,0,0,,20232024
Jack Drury,CAR,2,2,2,1,29,24,1,54.71698113207547,20232024
Seth Jarvis,CAR,9,1,6,12,28,26,2,51.85185185185185,20232024
Auston Matthews,TOR,3,2,2,1,17,8,0,68.0,20232024
Dylan Larkin,DET,0,0,1,0,22,19,2,53.65853658536586,20232024
Daniel Sprong,DET,0,0,0,0,1,0,1,100.0,20232024
David Perron,DET,0,0,1,2,0,0,0,,20232024
Charlie Coyle,BOS,0,1,3,8,83,61,1,57.638888888888886,20232024
J.T. Compher,DET,0,0,3,0,10,10,0,50.0,20232024
Alex DeBrincat,DET,0,0,4,1,0,0,1,,20232024
Robby Fabbri,DET,0,0,0,1,9,6,1,60.0,20232024
Jake Walman,DET,1,0,0,0,0,0,0,,20232024
Brady Tkachuk,OTT,1,0,4,3,12,10,0,54.54545454545454,20232024
Thomas Chabot,OTT,1,1,1,1,0,0,0,,20232024
Claude Giroux,OTT,0,1,2,0,21,11,0,65.625,20232024
Jeff Skinner,BUF,1,4,6,3,9,9,0,50.0,20232024
Peyton Krebs,BUF,0,1,0,0,13,11,0,54.166666666666664,20232024
Tage Thompson,BUF,1,2,4,1,22,31,2,41.509433962264154,20232024
Owen Power,BUF,0,1,4,0,0,0,2,,20232024
Leon Draisaitl,EDM,0,0,2,0,20,15,0,57.14285714285714,20232024
Warren Foegele,EDM,0,1,0,1,1,1,1,50.0,20232024
Alex Killorn,ANA,1,2,3,4,3,4,2,42.857142857142854,20232024
Jamie Drysdale,ANA,1,0,0,1,0,0,0,,20232024
Connor Brown,EDM,0,0,1,0,1,0,0,100.0,20232024
Pavel Mintyukov,ANA,4,2,4,2,0,0,2,,20232024
Georgii Merkulov,BOS,0,0,0,1,0,0,0,,20232024
Vincent Trocheck,NYR,0,0,0,0,34,12,2,73.91304347826086,20232024
Jonny Brodzinski,NYR,0,0,0,0,3,1,0,75.0,20232024
Stefan Noesen,CAR,10,1,2,4,6,7,2,46.15384615384615,20232024
Chris Kreider,NYR,1,0,0,2,0,0,1,,20232024
Brady Skjei,CAR,3,1,1,0,0,0,1,,20232024
Max Domi,TOR,1,0,2,0,9,4,0,69.23076923076923,20232024
David Kampf,TOR,0,0,0,0,2,3,0,40.0,20232024
Cam Fowler,ANA,8,2,7,1,0,0,1,,20232024
William Nylander,TOR,0,1,4,0,0,0,0,,20232024
Calle Jarnkrok,TOR,0,0,0,0,1,2,0,33.33333333333333,20232024
Tyler Bertuzzi,TOR,2,1,1,1,0,1,1,0.0,20232024
Sidney Crosby,PIT,0,0,2,1,39,24,1,61.904761904761905,20232024
Lars Eller,PIT,0,0,0,0,5,1,0,83.33333333333334,20232024
Jeff Carter,PIT,0,1,1,0,4,2,0,66.66666666666666,20232024
Alex Tuch,BUF,11,1,5,4,1,5,2,16.666666666666664,20232024
Jack Quinn,BUF,0,0,1,1,1,1,1,50.0,20232024
Sean Monahan,MTL,0,0,0,1,17,8,0,68.0,20232024
Mike Matheson,MTL,1,2,2,0,0,0,1,,20232024
Nick Suzuki,MTL,1,1,4,0,18,18,1,50.0,20232024
Cole Caufield,MTL,1,0,3,0,0,0,0,,20232024
Jake Evans,MTL,0,0,0,0,3,1,0,75.0,20232024
Dylan Strome,WSH,1,0,0,0,22,17,1,56.41025641025641,20232024
