player,team,season,TOI,position,xPKS,PKS,Rank
Bowen Byram,BUF,20242025,144.3,D,-0.5,8.2,178
Erik Cernak,T.B,20242025,169.65,D,-0.5,5.9,179
David Kampf,TOR,20242025,116.53333333333,C,-0.6,4.2,180
Wyatt Johnston,DAL,20242025,117.65,C,-0.6,1.2,181
Cole Smith,NSH,20242025,165.16666666667,"L, R",-0.6,10.0,182
Alex Iafallo,WPG,20242025,143.61666666667,L,-0.6,-2.3,183
Mattias Ekholm,EDM,20242025,129.2,D,-0.7,-2.5,184
Kris Letang,PIT,20242025,154.76666666667,D,-0.8,-10.8,185
Jake Walman,"EDM, S.J",20242025,156.85,D,-0.9,1.2,186
Morgan Barron,WPG,20242025,87.05,C,-0.9,-1.1,187
Danton Heinen,"PIT, VAN",20242025,73.95,L,-1.2,8.0,188
Luke Kunin,"CBJ, S.J",20242025,125.46666666667,C,-1.3,-0.7,189
Tyler Motte,DET,20242025,82.883333333333,C,-1.4,-20.0,190
Ty Emberson,EDM,20242025,142.26666666667,D,-1.5,8.1,191
Damon Severson,CBJ,20242025,91.833333333333,D,-1.5,-0.8,192
Brandon Carlo,"BOS, TOR",20242025,205.76666666667,D,-1.6,0.9,193
Esa Lindell,DAL,20242025,271.83333333333,D,-1.6,6.5,194
Jack Drury,"CAR, COL",20242025,95.183333333333,C,-1.7,6.9,195
Charlie Coyle,"BOS, COL",20242025,156.65,C,-1.7,-19.1,196
Brandon Duhaime,WSH,20242025,181.33333333333,R,-1.7,5.9,197
Blake Lizotte,PIT,20242025,75.583333333333,C,-1.7,1.5,198
Mikey Anderson,L.A,20242025,230.26666666667,D,-1.8,11.6,199
Elias Pettersson,VAN,20242025,39.683333333333,C,-2.3,-12.3,200
Ryan Suter,STL,20242025,159.38333333333,D,-2.3,-6.0,201
Oskar Sundqvist,STL,20242025,61.383333333333,C,-2.4,5.6,202
Alex Tuch,BUF,20242025,172.4,R,-2.5,-0.4,203
Louis Crevier,CHI,20242025,46.25,D,-2.6,5.7,204
Lucas Raymond,DET,20242025,60.0,L,-2.6,5.5,205
Alex Killorn,ANA,20242025,154.86666666667,L,-2.6,-7.2,206
Adrian Kempe,L.A,20242025,113.93333333333,R,-2.9,1.7,207
Travis Sanheim,PHI,20242025,184.28333333333,D,-3.0,7.3,208
Jordan Greenway,BUF,20242025,81.466666666667,L,-3.1,-10.1,209
Victor Hedman,T.B,20242025,120.13333333333,D,-3.3,7.8,210
Cody Glass,"N.J, PIT",20242025,78.2,C,-3.4,3.2,211
Nathan Walker,STL,20242025,53.533333333333,L,-3.4,-18.3,212
Tyler Myers,VAN,20242025,152.73333333333,D,-3.7,6.6,213
Vladislav Namestnikov,WPG,20242025,55.833333333333,C,-3.9,-6.7,214
Noah Dobson,NYI,20242025,48.483333333333,D,-3.9,-0.4,215
Colin Blackwell,DAL,20242025,113.38333333333,C,-3.9,2.6,216
Simon Edvinsson,DET,20242025,120.36666666667,D,-4.1,-20.0,217
John Carlson,WSH,20242025,213.9,D,-4.4,8.1,218
Chris Tanev,TOR,20242025,174.95,D,-4.5,3.3,219
Juuso Valimaki,UTA,20242025,44.0,D,-4.5,-13.1,220
Nicolas Hague,VGK,20242025,65.083333333333,D,-4.5,3.7,221
Gustav Forsling,FLA,20242025,215.08333333333,D,-4.5,13.6,222
Martin Fehervary,WSH,20242025,232.61666666667,D,-4.5,10.6,223
Ryan Graves,PIT,20242025,92.733333333333,D,-4.7,-12.0,224
Brian Dumoulin,"ANA, N.J",20242025,166.0,D,-4.7,-3.6,225
Tyler Tucker,STL,20242025,33.983333333333,D,-4.9,9.3,226
Mika Zibanejad,NYR,20242025,157.4,C,-5.0,13.6,227
Vincent Trocheck,NYR,20242025,177.25,C,-5.2,4.5,228
Neal Pionk,WPG,20242025,119.05,D,-5.3,-4.5,229
Johnathan Kovacevic,N.J,20242025,193.7,D,-5.3,6.8,230
Roman Josi,NSH,20242025,70.716666666667,D,-5.3,6.2,231
Devon Toews,COL,20242025,170.66666666667,D,-5.3,2.1,232
Artem Zub,OTT,20242025,134.18333333333,D,-5.4,3.9,233
Curtis Lazar,N.J,20242025,44.316666666667,C,-5.4,15.9,234
Jakub Lauko,"BOS, MIN",20242025,50.533333333333,C,-5.6,0.2,235
Parker Kelly,COL,20242025,148.28333333333,C,-5.6,2.3,236
Frank Vatrano,ANA,20242025,60.633333333333,R,-5.6,-4.5,237
Dmitry Orlov,CAR,20242025,148.43333333333,D,-5.6,8.6,238
Brandon Hagel,T.B,20242025,149.83333333333,L,-5.7,7.9,239
Josh Norris,"BUF, OTT",20242025,122.06666666667,C,-5.8,7.6,240
Ryan Lindgren,"COL, NYR",20242025,171.23333333333,D,-6.1,7.7,241
Alex Vlasic,CHI,20242025,210.5,D,-6.1,2.4,242
Alexander Romanov,NYI,20242025,121.6,D,-6.2,1.0,243
Nicolas Roy,VGK,20242025,55.016666666667,C,-6.2,-12.6,244
Filip Hronek,VAN,20242025,137.88333333333,D,-6.2,-1.7,245
Jared McCann,SEA,20242025,121.55,L,-6.5,-4.0,246
Ryan Shea,PIT,20242025,64.783333333333,D,-6.5,8.8,247
Alex Pietrangelo,VGK,20242025,139.35,D,-6.5,0.5,248
Shane Pinto,OTT,20242025,133.9,C,-6.6,7.8,249
Collin Graf,S.J,20242025,64.366666666667,R,-6.6,-1.2,250
Noah Juulsen,VAN,20242025,80.683333333333,D,-6.6,4.7,251
Jake McCabe,TOR,20242025,158.71666666667,D,-6.7,-0.4,252
Dylan DeMelo,WPG,20242025,166.06666666667,D,-6.7,5.7,253
Joel Kiviranta,COL,20242025,110.71666666667,L,-6.7,9.7,254
Teddy Blueger,VAN,20242025,165.88333333333,C,-6.9,15.4,255
Adam Lowry,WPG,20242025,137.45,C,-6.9,8.0,256
Pontus Holmberg,TOR,20242025,57.183333333333,R,-7.0,-4.7,257
Moritz Seider,DET,20242025,157.46666666667,D,-7.0,-20.0,258
Jean-Gabriel Pageau,NYI,20242025,131.63333333333,C,-7.1,3.4,259
Arber Xhekaj,MTL,20242025,63.45,D,-7.2,8.9,260
Connor Murphy,CHI,20242025,153.8,D,-7.2,10.8,261
William Eklund,S.J,20242025,90.7,L,-7.3,8.1,262
Jason Dickinson,CHI,20242025,141.66666666667,C,-7.3,-3.9,263
