player,team,season,TOI,position,xPKS,PKS,xga_per60,ga_per60,pk_blocks_per60,pk_takeaways_per60,pk_giveaways_per60,sh_goals_per60,Rank,gap
John Marino,UTA,20242025,68.233333333333,D,10.2,11.3,9.989252564728922,7.034684904738676,0.0,0.0,0.0,0.0,146,1.1000000000000014
Connor Murphy,CHI,20242025,153.8,D,10.1,12.2,7.931079323797138,6.631989596879063,0.0,0.0,0.0,0.0,147,2.0999999999999996
Blake Lizotte,PIT,20242025,75.583333333333,C,10.0,14.4,7.144432194046338,5.556780595369374,0.0,0.0,0.0,0.0,148,4.4
Sean Monahan,CBJ,20242025,80.366666666667,C,10.0,7.4,6.793861468270398,9.705516383243427,0.0,0.0,1.493156366652835,0.0,149,-2.5999999999999996
Connor Clifton,BUF,20242025,191.86666666667,D,10.0,9.9,6.961084086170832,7.505211952744831,0.0,0.0,0.0,0.0,150,-0.09999999999999964
Jackson LaCombe,ANA,20242025,159.31666666667,D,10.0,1.8,7.189454963908208,9.415210796108182,1.5064337273773094,1.5064337273773094,1.5064337273773094,0.0,151,-8.2
Arber Xhekaj,MTL,20242025,63.45,D,9.9,18.0,9.04964539007092,3.782505910165484,0.0,0.0,0.0,0.0,152,8.1
Casey Cizikas,NYI,20242025,67.916666666667,C,9.9,-2.7,6.351901840490767,10.60122699386498,0.0,0.0,0.0,0.8834355828220817,153,-12.600000000000001
Brock Nelson,"COL, NYI",20242025,74.283333333333,C,9.8,9.6,9.49876598608934,8.077181960960322,0.0,0.0,0.0,2.4231545882880967,154,-0.20000000000000107
William Karlsson,VGK,20242025,71.683333333333,C,9.8,10.9,6.721227621483407,6.696117182050718,0.0,0.0,0.0,1.6740292955126794,155,1.0999999999999996
Sean Kuraly,CBJ,20242025,71.6,C,9.8,10.0,8.0195530726257,8.379888268156426,0.0,0.0,0.0,0.0,156,0.1999999999999993
Jared McCann,SEA,20242025,121.55,L,9.7,8.3,8.149732620320856,8.885232414644179,0.0,0.0,0.9872480460715756,0.0,157,-1.3999999999999986
John Beecher,BOS,20242025,116.26666666667,C,9.6,7.3,7.916284403669497,8.256880733944717,0.0,0.0,1.0321100917430897,0.0,158,-2.3
Claude Giroux,OTT,20242025,182.8,R,9.5,13.1,8.579868708971553,5.908096280087527,0.0,0.3282275711159737,0.3282275711159737,0.0,159,3.5999999999999996
Dante Fabbro,"CBJ, NSH",20242025,101.6,D,9.3,6.3,8.078740157480315,10.039370078740156,0.0,0.0,0.0,0.0,160,-3.000000000000001
Darnell Nurse,EDM,20242025,125.61666666667,D,9.3,-1.4,7.71872097651565,11.941090619609607,0.0,0.0,0.0,0.4776436247843842,161,-10.700000000000001
Zach Aston-Reese,CBJ,20242025,90.133333333333,C,9.3,10.6,8.753698224852105,8.653846153846187,0.0,0.0,0.0,0.0,162,1.299999999999999
Garnet Hathaway,PHI,20242025,91.583333333333,R,9.3,11.2,7.389990900818953,5.896269335759802,0.0,0.0,0.0,1.3102820746132895,163,1.8999999999999986
Oskar Back,DAL,20242025,106.65,C,9.2,14.6,8.056258790436006,6.1884669479606185,0.0,0.0,0.0,0.0,164,5.4
Jake Evans,MTL,20242025,219.13333333333,C,9.1,12.9,8.652266504411449,6.297535746881751,0.0,0.0,0.0,0.821417706115011,165,3.8000000000000007
Brian Dumoulin,"ANA, N.J",20242025,166.0,D,9.1,13.4,8.718072289156627,6.506024096385542,0.3614457831325301,0.0,0.0,0.0,166,4.300000000000001
Jonathan Huberdeau,CGY,20242025,101.83333333333,"C, L",9.1,13.2,7.040916530278462,5.302782324059093,0.0,0.0,0.589198036006566,1.7675941080196975,167,4.1
Johnathan Kovacevic,N.J,20242025,193.7,D,9.1,8.6,8.428497676819825,7.434176561693341,0.0,0.0,0.0,0.0,168,-0.5
