player,team,pk_blocks,pk_takeaways,pk_giveaways,pk_hits,pk_faceoff_wins,pk_faceoff_losses,pk_penalties_taken,pk_faceoff_pct,season
Alex Tuch,BUF,9,5,7,3,8,18,2,30.76923076923077,20242025
Dylan Cozens,BUF,3,2,5,3,74,75,4,49.664429530201346,20242025
Nico Hischier,NJD,0,0,0,0,23,15,0,60.526315789473685,20242025
Erik Haula,NJD,0,0,0,0,2,3,0,40.0,20242025
Timo Meier,NJD,0,0,2,1,0,0,1,,20242025
Dawson Mercer,NJD,0,0,2,3,0,2,0,0.0,20242025
Curtis Lazar,NJD,0,0,0,1,3,1,0,75.0,20242025
Zach Benson,BUF,6,1,3,1,0,4,1,0.0,20242025
Bowen Byram,BUF,2,2,4,2,0,0,1,,20242025
Tomas Tatar,NJD,0,0,0,1,0,0,0,,20242025
Stefan Noesen,NJD,1,0,0,2,3,3,1,50.0,20242025
Tage Thompson,BUF,1,5,6,3,48,47,1,50.526315789473685,20242025
Rasmus Dahlin,BUF,5,4,8,7,0,0,2,,20242025
Peyton Krebs,BUF,0,0,3,2,20,18,0,52.63157894736842,20242025
Ryan McLeod,BUF,3,1,4,0,34,25,0,57.6271186440678,20242025
Jack Quinn,BUF,1,1,8,1,0,0,2,,20242025
Aleksander Barkov,FLA,0,0,2,0,27,14,0,65.85365853658537,20242025
Anton Lundell,FLA,0,0,0,0,6,13,0,31.57894736842105,20242025
Carter Verhaeghe,FLA,0,0,1,1,2,1,0,66.66666666666666,20242025
Elias Lindholm,BOS,8,3,5,10,160,105,1,60.37735849056604,20242025
David Pastrnak,BOS,2,3,19,4,0,0,5,,20242025
Charlie Coyle,BOS,2,4,5,4,22,20,1,52.38095238095239,20242025
Sam Reinhart,FLA,1,0,0,2,2,5,0,28.57142857142857,20242025
Pavel Zacha,BOS,5,1,10,3,61,48,2,55.96330275229357,20242025
Mason Lohrei,BOS,3,6,9,2,0,0,2,,20242025
Jesper Boqvist,FLA,0,0,0,0,0,2,0,0.0,20242025
Trent Frederic,BOS,1,0,1,3,9,5,0,64.28571428571429,20242025
Morgan Geekie,BOS,3,2,4,2,12,7,1,63.1578947368421,20242025
Kirby Dach,MTL,0,0,1,0,2,3,0,40.0,20242025
Mike Matheson,MTL,0,3,0,1,0,0,1,,20242025
Alex Newhook,MTL,1,0,0,0,8,7,1,53.333333333333336,20242025
Lane Hutson,MTL,2,2,3,0,0,0,1,,20242025
Nick Suzuki,MTL,0,0,3,0,26,27,0,49.056603773584904,20242025
Josh Anderson,MTL,0,0,0,1,0,0,0,,20242025
Jake Evans,MTL,0,0,0,0,2,1,0,66.66666666666666,20242025
Phillip Danault,LAK,0,1,1,0,9,3,0,75.0,20242025
Quinton Byfield,LAK,0,0,0,1,1,1,1,50.0,20242025
Anze Kopitar,LAK,1,1,2,0,26,13,0,66.66666666666666,20242025
Adrian Kempe,LAK,0,0,1,2,0,2,1,0.0,20242025
Brandt Clarke,LAK,1,1,0,2,0,0,0,,20242025
Trevor Moore,LAK,0,1,1,0,0,0,0,,20242025
Jason Zucker,BUF,6,0,9,2,29,38,3,43.28358208955223,20242025
Jiri Kulich,BUF,1,0,4,0,17,15,1,53.125,20242025
Alex Turcotte,LAK,1,0,2,1,0,1,0,0.0,20242025
Brayden Point,TBL,1,0,2,0,8,9,0,47.05882352941176,20242025
Nick Paul,TBL,0,0,0,0,8,4,0,66.66666666666666,20242025
Sebastian Aho,CAR,2,0,20,2,166,100,4,62.40601503759399,20242025
Seth Jarvis,CAR,7,8,2,6,22,35,3,38.59649122807017,20242025
